"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"envelope"	 		"Type         "	"envelope"	 
"Date         "	09/10/95	 		"Date         "	09/10/95	 
"Time         "	01:40:07	 		"Time         "	01:40:07	 
"X Scale      "	1.00e-02	 		"X Scale      "	1.00e-02	 
"X At 0%      "	4.72e-02	 		"X At 0%      "	4.72e-02	 
"X Resolution "	2.500000e+01	 		"X Resolution "	2.500000e+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"10 ms/Div"	 		"X Label      "	"10 ms/Div"	 
"Y Scale      "	5.0e-01	 		"Y Scale      "	2.00e-02	 
"Y At 50%     "	1.34e+00	 		"Y At 50%     "	-8.00e-02	 
"Y Resolution "	2.500000e+01	 		"Y Resolution "	2.500000e+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"V"	 		"Y Label      "	"mV"	 

8.92e-02	2.06e+00	2.12e+00		8.92e-02	-2.32e-02	-2.00e-02
8.96e-02	2.06e+00	2.10e+00		8.96e-02	-2.24e-02	-2.00e-02
9.00e-02	2.04e+00	2.08e+00		9.00e-02	-2.24e-02	-1.92e-02
9.04e-02	2.04e+00	2.08e+00		9.04e-02	-2.24e-02	-2.00e-02
9.08e-02	2.02e+00	2.06e+00		9.08e-02	-2.32e-02	-2.00e-02
9.12e-02	2.02e+00	2.06e+00		9.12e-02	-2.24e-02	-1.92e-02
9.16e-02	2.00e+00	2.04e+00		9.16e-02	-2.40e-02	-2.00e-02
9.20e-02	1.98e+00	2.02e+00		9.20e-02	-2.48e-02	-2.00e-02
9.24e-02	1.98e+00	2.02e+00		9.24e-02	-2.32e-02	-2.08e-02
9.28e-02	1.94e+00	1.98e+00		9.28e-02	-2.48e-02	-2.08e-02
9.32e-02	1.94e+00	1.98e+00		9.32e-02	-2.32e-02	-2.00e-02
9.36e-02	1.94e+00	2.00e+00		9.36e-02	-2.32e-02	-2.00e-02
9.40e-02	1.92e+00	1.96e+00		9.40e-02	-2.40e-02	-2.08e-02
9.44e-02	1.88e+00	1.94e+00		9.44e-02	-2.32e-02	-2.00e-02
9.48e-02	1.90e+00	1.94e+00		9.48e-02	-2.32e-02	-1.92e-02
9.52e-02	1.88e+00	1.92e+00		9.52e-02	-2.24e-02	-1.92e-02
9.56e-02	1.84e+00	1.90e+00		9.56e-02	-2.24e-02	-2.00e-02
9.60e-02	1.84e+00	1.88e+00		9.60e-02	-2.24e-02	-1.84e-02
9.64e-02	1.84e+00	1.88e+00		9.64e-02	-2.24e-02	-1.92e-02
9.68e-02	1.80e+00	1.86e+00		9.68e-02	-2.24e-02	-2.00e-02
9.72e-02	1.80e+00	1.84e+00		9.72e-02	-2.32e-02	-2.00e-02
9.76e-02	1.76e+00	1.82e+00		9.76e-02	-2.24e-02	-1.92e-02
9.80e-02	1.74e+00	1.80e+00		9.80e-02	-2.24e-02	-1.92e-02
9.84e-02	1.76e+00	1.80e+00		9.84e-02	-2.24e-02	-1.92e-02
9.88e-02	1.74e+00	1.78e+00		9.88e-02	-2.32e-02	-1.92e-02
9.92e-02	1.72e+00	1.76e+00		9.92e-02	-2.56e-02	-1.92e-02
9.96e-02	1.72e+00	1.76e+00		9.96e-02	-4.80e-02	-2.24e-02
9.996e-02	1.70e+00	1.74e+00		9.996e-02	-3.36e-02	-2.08e-02
1.004e-01	1.68e+00	1.74e+00		1.004e-01	-2.32e-02	-1.92e-02
1.008e-01	1.68e+00	1.72e+00		1.008e-01	-2.24e-02	-2.00e-02
1.012e-01	1.66e+00	1.70e+00		1.012e-01	-2.24e-02	-1.92e-02
1.016e-01	1.64e+00	1.70e+00		1.016e-01	-2.40e-02	-2.08e-02
1.020e-01	1.62e+00	1.68e+00		1.020e-01	-2.40e-02	-2.00e-02
1.024e-01	1.60e+00	1.66e+00		1.024e-01	-2.40e-02	-2.08e-02
1.028e-01	1.58e+00	1.64e+00		1.028e-01	-2.40e-02	-2.08e-02
1.032e-01	1.60e+00	1.62e+00		1.032e-01	-2.40e-02	-2.00e-02
1.036e-01	1.58e+00	1.62e+00		1.036e-01	-2.32e-02	-1.92e-02
1.040e-01	1.56e+00	1.62e+00		1.040e-01	-2.32e-02	-2.00e-02
1.044e-01	1.54e+00	1.58e+00		1.044e-01	-2.32e-02	-1.92e-02
1.048e-01	1.52e+00	1.56e+00		1.048e-01	-2.32e-02	-1.92e-02
1.052e-01	1.52e+00	1.56e+00		1.052e-01	-2.32e-02	-1.92e-02
1.056e-01	1.50e+00	1.56e+00		1.056e-01	-2.24e-02	-2.00e-02
1.060e-01	1.48e+00	1.52e+00		1.060e-01	-2.24e-02	-1.92e-02
1.064e-01	1.48e+00	1.54e+00		1.064e-01	-2.24e-02	-1.92e-02
1.068e-01	1.48e+00	1.52e+00		1.068e-01	-2.24e-02	-2.00e-02
1.072e-01	1.44e+00	1.50e+00		1.072e-01	-2.24e-02	-2.00e-02
1.076e-01	1.44e+00	1.48e+00		1.076e-01	-2.24e-02	-1.92e-02
1.080e-01	1.44e+00	1.46e+00		1.080e-01	-2.32e-02	-1.92e-02
1.084e-01	1.40e+00	1.44e+00		1.084e-01	-2.32e-02	-2.00e-02
1.088e-01	1.40e+00	1.44e+00		1.088e-01	-2.32e-02	-1.92e-02
1.092e-01	1.38e+00	1.42e+00		1.092e-01	-2.24e-02	-1.92e-02
1.096e-01	1.38e+00	1.40e+00		1.096e-01	-2.32e-02	-2.00e-02
1.100e-01	1.36e+00	1.40e+00		1.100e-01	-2.24e-02	-1.92e-02
1.104e-01	1.36e+00	1.40e+00		1.104e-01	-2.32e-02	-2.00e-02
1.108e-01	1.34e+00	1.38e+00		1.108e-01	-2.32e-02	-1.92e-02
1.112e-01	1.32e+00	1.36e+00		1.112e-01	-2.32e-02	-2.00e-02
1.116e-01	1.30e+00	1.34e+00		1.116e-01	-2.40e-02	-2.00e-02
1.120e-01	1.28e+00	1.34e+00		1.120e-01	-2.48e-02	-2.08e-02
1.124e-01	1.28e+00	1.34e+00		1.124e-01	-2.40e-02	-2.08e-02
1.128e-01	1.24e+00	1.30e+00		1.128e-01	-2.40e-02	-2.00e-02
1.132e-01	1.26e+00	1.32e+00		1.132e-01	-2.32e-02	-2.00e-02
1.136e-01	1.24e+00	1.28e+00		1.136e-01	-2.40e-02	-2.08e-02
1.140e-01	1.22e+00	1.26e+00		1.140e-01	-2.32e-02	-2.00e-02
1.144e-01	1.20e+00	1.24e+00		1.144e-01	-2.40e-02	-2.00e-02
1.148e-01	1.20e+00	1.24e+00		1.148e-01	-2.32e-02	-1.92e-02
1.152e-01	1.16e+00	1.20e+00		1.152e-01	-2.32e-02	-2.00e-02
1.156e-01	1.14e+00	1.18e+00		1.156e-01	-2.40e-02	-2.00e-02
1.160e-01	1.16e+00	1.22e+00		1.160e-01	-2.40e-02	-2.08e-02
1.164e-01	1.16e+00	1.20e+00		1.164e-01	-2.32e-02	-1.92e-02
1.168e-01	1.10e+00	1.14e+00		1.168e-01	-2.32e-02	-2.00e-02
1.172e-01	1.10e+00	1.16e+00		1.172e-01	-3.12e-02	-2.16e-02
1.176e-01	1.10e+00	1.12e+00		1.176e-01	-1.360e-01	-3.04e-02
#1.180e-01	1.06e+00	1.10e+00		1.180e-01	-1e+308	-1e+308
1.184e-01	1.06e+00	1.10e+00		1.184e-01	-4.00e-02	-2.48e-02
1.188e-01	1.04e+00	1.10e+00		1.188e-01	-2.48e-02	-2.08e-02
1.192e-01	1.02e+00	1.08e+00		1.192e-01	-3.04e-02	-2.16e-02
1.196e-01	1.02e+00	1.08e+00		1.196e-01	-3.28e-02	-2.08e-02
1.200e-01	1.02e+00	1.06e+00		1.200e-01	-2.40e-02	-2.00e-02
1.204e-01	1.00e+00    1.06e+00		1.204e-01	-2.32e-02	-2.00e-02
1.208e-01	9.8e-01 1.02e+00		1.208e-01	-2.32e-02	-2.00e-02
1.212e-01	9.6e-01	1.02e+00		1.212e-01	-2.24e-02	-1.92e-02
1.216e-01	9.4e-01	9.8e-01		1.216e-01	-2.32e-02	-1.92e-02
1.220e-01	9.4e-01	1.00e+00		1.220e-01	-2.32e-02	-2.00e-02
1.224e-01	9.2e-01	9.6e-01		1.224e-01	-2.32e-02	-2.00e-02
1.228e-01	9.2e-01	9.4e-01		1.228e-01	-2.40e-02	-2.08e-02
1.232e-01	9.0e-01	9.4e-01		1.232e-01	-2.40e-02	-2.00e-02
1.236e-01	8.8e-01	9.2e-01		1.236e-01	-2.32e-02	-1.92e-02
1.240e-01	8.6e-01	9.0e-01		1.240e-01	-2.40e-02	-2.08e-02
1.244e-01	8.4e-01	9.0e-01		1.244e-01	-2.32e-02	-2.00e-02
1.248e-01	8.2e-01	8.6e-01		1.248e-01	-2.24e-02	-2.00e-02
1.252e-01	8.4e-01	8.6e-01		1.252e-01	-2.16e-02	-1.92e-02
1.256e-01	8.2e-01	8.4e-01		1.256e-01	-2.16e-02	-1.84e-02
1.260e-01	8.0e-01	8.4e-01		1.260e-01	-2.32e-02	-2.00e-02
1.264e-01	8.0e-01	8.4e-01		1.264e-01	-2.32e-02	-1.92e-02
