"Title        "	"Input A"	 		"Title        "	"Input B"	 
"ID           "	1	 		"ID           "	1	 
"Type         "	"Envelope"	 		"Type         "	"Envelope"	 
"Date         "	01/01/95	 		"Date         "	01/01/95	 
"Time         "	00:52:46	 		"Time         "	00:52:46	 
"X Scale      "	2.00E-02	 		"X Scale      "	2.00E-02	 
"X At 0%      "	6.07E-02	 		"X At 0%      "	6.07E-02	 
"X Resolution "	2.500000E+01	 		"X Resolution "	2.500000E+01	 
"X Size       "	300	 		"X Size       "	300	 
"X Unit       "	"s"	 		"X Unit       "	"s"	 
"X Label      "	"20 ms/Div"	 		"X Label      "	"20 ms/Div"	 
"Y Scale      "	1.00E+00	 		"Y Scale      "	1.00E-01	 
"Y At 50%     "	7.2E-01	 		"Y At 50%     "	1.08E-01	 
"Y Resolution "	2.500000E+01	 		"Y Resolution "	2.500000E+01	 
"Y Size       "	256	 		"Y Size       "	256	 
"Y Unit       "	"V"	 		"Y Unit       "	"V"	 
"Y Label      "	"V"	 		"Y Label      "	"mV"	 
1.591E-01	1.92E+00	1.96E+00		1.591E-01	-2.0E-02	-1.2E-02
1.599E-01	1.96E+00	2.00E+00		1.599E-01	-2.0E-02	-1.2E-02
1.607E-01	1.92E+00	2.00E+00		1.607E-01	-2.4E-02	-1.6E-02
1.615E-01	1.92E+00	1.96E+00		1.615E-01	-2.0E-02	-1.2E-02
1.623E-01	1.88E+00	1.96E+00		1.623E-01	-2.4E-02	-1.2E-02
1.631E-01	1.88E+00	1.92E+00		1.631E-01	-2.0E-02	-1.2E-02
1.639E-01	1.88E+00	1.96E+00		1.639E-01	-2.4E-02	-1.6E-02
1.647E-01	1.84E+00	1.92E+00		1.647E-01	-2.8E-02	-1.6E-02
1.655E-01	1.88E+00	1.92E+00		1.655E-01	-3.6E-02	-1.6E-02
1.663E-01	1.88E+00	1.92E+00		1.663E-01	-6.8E-02	-2.4E-02
1.671E-01	1.80E+00	1.84E+00		1.671E-01	-8.0E-02	-4.0E-02
1.679E-01	1.84E+00	1.88E+00		1.679E-01	-4.0E-02	-2.0E-02
1.687E-01	1.84E+00	1.88E+00		1.687E-01	-2.8E-02	-1.6E-02
1.695E-01	1.80E+00	1.88E+00		1.695E-01	-2.0E-02	-1.2E-02
1.703E-01	1.80E+00	1.84E+00		1.703E-01	-2.4E-02	-1.2E-02
1.711E-01	1.80E+00	1.84E+00		1.711E-01	-2.4E-02	-1.2E-02
1.719E-01	1.76E+00	1.80E+00		1.719E-01	-2.4E-02	-1.2E-02
1.727E-01	1.76E+00	1.80E+00		1.727E-01	-2.0E-02	-8.E-03
1.735E-01	1.76E+00	1.80E+00		1.735E-01	-2.4E-02	-1.6E-02
1.743E-01	1.76E+00	1.80E+00		1.743E-01	-2.0E-02	-1.2E-02
1.751E-01	1.76E+00	1.80E+00		1.751E-01	-2.0E-02	-1.2E-02
1.759E-01	1.72E+00	1.76E+00		1.759E-01	-2.4E-02	-1.6E-02
1.767E-01	1.72E+00	1.84E+00		1.767E-01	-2.4E-02	-1.2E-02
1.775E-01	1.72E+00	1.80E+00		1.775E-01	-2.8E-02	-1.6E-02
1.783E-01	1.68E+00	1.72E+00		1.783E-01	-2.8E-02	-1.6E-02
1.791E-01	1.68E+00	1.72E+00		1.791E-01	-1.6E-02	-1.2E-02
1.799E-01	1.68E+00	1.72E+00		1.799E-01	-2.4E-02	-1.2E-02
1.807E-01	1.68E+00	1.76E+00		1.807E-01	-2.0E-02	-1.2E-02
1.815E-01	1.60E+00	1.68E+00		1.815E-01	-2.0E-02	-1.2E-02
1.823E-01	1.60E+00	1.68E+00		1.823E-01	-2.0E-02	-8.E-03
1.831E-01	1.68E+00	1.76E+00		1.831E-01	-2.4E-02	-1.2E-02
1.839E-01	1.64E+00	1.68E+00		1.839E-01	-2.0E-02	-1.2E-02
1.847E-01	1.60E+00	1.68E+00		1.847E-01	-2.4E-02	-1.6E-02
1.855E-01	1.60E+00	1.68E+00		1.855E-01	-2.4E-02	-1.6E-02
1.863E-01	1.56E+00	1.64E+00		1.863E-01	-2.4E-02	-1.6E-02
1.871E-01	1.56E+00	1.60E+00		1.871E-01	-2.4E-02	-1.6E-02
1.879E-01	1.60E+00	1.64E+00		1.879E-01	-2.0E-02	-1.2E-02
1.887E-01	1.56E+00	1.60E+00		1.887E-01	-2.4E-02	-1.6E-02
1.895E-01	1.56E+00	1.60E+00		1.895E-01	-2.4E-02	-1.6E-02
1.903E-01	1.52E+00	1.60E+00		1.903E-01	-2.0E-02	-1.6E-02
1.911E-01	1.52E+00	1.60E+00		1.911E-01	-2.8E-02	-1.6E-02
1.919E-01	1.56E+00	1.60E+00		1.919E-01	-2.0E-02	-1.2E-02
1.927E-01	1.52E+00	1.56E+00		1.927E-01	-2.4E-02	-1.6E-02
1.935E-01	1.56E+00	1.60E+00		1.935E-01	-1.6E-02	-8.E-03
1.943E-01	1.52E+00	1.56E+00		1.943E-01	-2.8E-02	-1.6E-02
1.951E-01	1.52E+00	1.56E+00		1.951E-01	-2.4E-02	-1.6E-02
1.959E-01	1.48E+00	1.52E+00		1.959E-01	-2.8E-02	-1.2E-02
1.967E-01	1.48E+00	1.52E+00		1.967E-01	-2.4E-02	-1.2E-02
1.975E-01	1.44E+00	1.52E+00		1.975E-01	-2.4E-02	-1.6E-02
1.983E-01	1.48E+00	1.52E+00		1.983E-01	-2.4E-02	-1.6E-02
1.991E-01	1.48E+00	1.52E+00		1.991E-01	-2.0E-02	-1.2E-02
1.999E-01	1.40E+00	1.44E+00		1.999E-01	-2.4E-02	-1.2E-02
2.007E-01	1.44E+00	1.48E+00		2.007E-01	-2.0E-02	-1.2E-02
2.015E-01	1.40E+00	1.44E+00		2.015E-01	-3.2E-02	-1.6E-02
2.023E-01	1.44E+00	1.48E+00		2.023E-01	-2.4E-02	-1.6E-02
2.031E-01	1.40E+00	1.44E+00		2.031E-01	-2.0E-02	-1.2E-02
2.039E-01	1.40E+00	1.44E+00		2.039E-01	-2.0E-02	-1.2E-02
2.047E-01	1.32E+00	1.40E+00		2.047E-01	-2.0E-02	-1.2E-02
2.055E-01	1.24E+00	1.36E+00		2.055E-01	-2.4E-02	-1.6E-02
2.063E-01	1.32E+00	1.40E+00		2.063E-01	-2.8E-02	-1.6E-02
2.071E-01	1.32E+00	1.40E+00		2.071E-01	-2.4E-02	-1.6E-02
2.079E-01	1.32E+00	1.40E+00		2.079E-01	-2.0E-02	-1.2E-02
2.087E-01	1.28E+00	1.32E+00		2.087E-01	-2.8E-02	-1.6E-02
2.095E-01	1.24E+00	1.32E+00		2.095E-01	-1.08E-01	-2.8E-02
2.103E-01	1.24E+00	1.32E+00		2.103E-01	-1.44E-01	-8.8E-02
2.111E-01	1.24E+00	1.32E+00		2.111E-01	-8.4E-02	-3.2E-02
2.119E-01	1.24E+00	1.32E+00		2.119E-01	-3.2E-02	-2.0E-02
2.127E-01	1.24E+00	1.32E+00		2.127E-01	-2.4E-02	-1.2E-02
2.135E-01	1.24E+00	1.32E+00		2.135E-01	-2.4E-02	-1.2E-02
2.143E-01	1.24E+00	1.28E+00		2.143E-01	-2.4E-02	-1.6E-02
2.151E-01	1.24E+00	1.28E+00		2.151E-01	-2.4E-02	-1.2E-02
2.159E-01	1.20E+00	1.28E+00		2.159E-01	-2.4E-02	-1.2E-02
2.167E-01	1.20E+00	1.28E+00		2.167E-01	-2.4E-02	-1.6E-02
2.175E-01	1.24E+00	1.28E+00		2.175E-01	-2.0E-02	-8.E-03
2.183E-01	1.20E+00	1.32E+00		2.183E-01	-2.0E-02	-1.6E-02
2.191E-01	1.16E+00	1.24E+00		2.191E-01	-2.0E-02	-1.6E-02
2.199E-01	1.20E+00	1.20E+00		2.199E-01	-2.4E-02	-1.6E-02
2.207E-01	1.20E+00	1.20E+00		2.207E-01	-2.8E-02	-1.6E-02
2.215E-01	1.12E+00	1.16E+00		2.215E-01	-2.4E-02	-1.6E-02
2.223E-01	1.16E+00	1.20E+00		2.223E-01	-2.4E-02	-1.6E-02
2.231E-01	1.16E+00	1.24E+00		2.231E-01	-2.4E-02	-1.2E-02
2.239E-01	1.08E+00	1.16E+00		2.239E-01	-2.4E-02	-1.6E-02
2.247E-01	1.12E+00	1.20E+00		2.247E-01	-3.2E-02	-2.0E-02
2.255E-01	1.04E+00	1.12E+00		2.255E-01	-2.8E-02	-1.6E-02
2.263E-01	1.08E+00	1.12E+00		2.263E-01	-2.8E-02	-1.6E-02
2.271E-01	1.08E+00	1.12E+00		2.271E-01	-2.4E-02	-1.6E-02
2.279E-01	1.04E+00	1.12E+00		2.279E-01	-2.4E-02	-1.6E-02
2.287E-01	1.08E+00	1.12E+00		2.287E-01	-2.8E-02	-1.6E-02
2.295E-01	9.6E-01	1.04E+00		2.295E-01	-2.0E-02	-1.2E-02
2.303E-01	1.04E+00	1.08E+00		2.303E-01	-2.4E-02	-1.6E-02
2.311E-01	1.04E+00	1.12E+00		2.311E-01	-2.0E-02	-1.2E-02
2.319E-01	1.00E+00	1.04E+00		2.319E-01	-2.0E-02	-1.2E-02
2.327E-01	9.6E-01	1.00E+00		2.327E-01	-2.0E-02	-1.2E-02
2.335E-01	9.6E-01	1.04E+00		2.335E-01	-2.4E-02	-1.2E-02
2.343E-01	9.6E-01	1.04E+00		2.343E-01	-2.4E-02	-1.2E-02
2.351E-01	9.6E-01	1.00E+00		2.351E-01	-2.4E-02	-1.6E-02
2.359E-01	9.6E-01	1.00E+00		2.359E-01	-2.0E-02	-1.2E-02
2.367E-01	9.6E-01	1.00E+00		2.367E-01	-2.4E-02	-1.2E-02
2.375E-01	9.6E-01	1.00E+00		2.375E-01	-2.4E-02	-1.2E-02
2.383E-01	9.2E-01	9.6E-01		2.383E-01	-2.8E-02	-2.0E-02
2.391E-01	9.6E-01	9.6E-01		2.391E-01	-2.4E-02	-1.6E-02
2.399E-01	8.8E-01	9.2E-01		2.399E-01	-2.8E-02	-1.6E-02
2.407E-01	8.8E-01	9.6E-01		2.407E-01	-2.4E-02	-1.6E-02
2.415E-01	8.8E-01	9.2E-01		2.415E-01	-2.0E-02	-1.2E-02
2.423E-01	8.4E-01	8.8E-01		2.423E-01	-2.8E-02	-1.6E-02
2.431E-01	8.8E-01	9.2E-01		2.431E-01	-2.4E-02	-1.2E-02
2.439E-01	8.8E-01	8.8E-01		2.439E-01	-2.4E-02	-1.6E-02
2.447E-01	8.0E-01	8.8E-01		2.447E-01	-2.4E-02	-1.6E-02
2.455E-01	8.0E-01	8.8E-01		2.455E-01	-3.2E-02	-1.6E-02
2.463E-01	8.0E-01	8.4E-01		2.463E-01	-2.4E-02	-1.2E-02
2.471E-01	8.4E-01	8.8E-01		2.471E-01	-2.0E-02	-1.2E-02
2.479E-01	8.0E-01	8.4E-01		2.479E-01	-2.4E-02	-1.6E-02
2.487E-01	7.6E-01	8.4E-01		2.487E-01	-2.0E-02	-1.2E-02
2.495E-01	8.0E-01	8.8E-01		2.495E-01	-2.4E-02	-1.6E-02
2.503E-01	7.6E-01	8.4E-01		2.503E-01	-2.0E-02	-8.E-03
2.511E-01	8.0E-01	8.4E-01		2.511E-01	-2.4E-02	-1.2E-02
2.519E-01	7.6E-01	8.4E-01		2.519E-01	-2.0E-02	-1.2E-02
2.527E-01	7.6E-01	8.4E-01		2.527E-01	-5.6E-02	-2.4E-02
2.535E-01	7.6E-01	8.0E-01		2.535E-01	-7.2E-02	-4.0E-02
2.543E-01	7.6E-01	8.0E-01		2.543E-01	-4.4E-02	-2.4E-02
2.551E-01	7.6E-01	8.0E-01		2.551E-01	-2.4E-02	-1.2E-02
2.559E-01	7.2E-01	7.6E-01		2.559E-01	-2.0E-02	-1.6E-02
2.567E-01	7.2E-01	7.6E-01		2.567E-01	-2.0E-02	-8.E-03
2.575E-01	7.2E-01	7.6E-01		2.575E-01	-2.0E-02	-1.6E-02
2.583E-01	6.4E-01	7.2E-01		2.583E-01	-2.8E-02	-2.0E-02
2.591E-01	6.4E-01	6.8E-01		2.591E-01	-2.8E-02	-1.6E-02
2.599E-01	6.8E-01	7.2E-01		2.599E-01	-2.8E-02	-2.0E-02
2.607E-01	6.8E-01	7.2E-01		2.607E-01	-2.4E-02	-1.2E-02
2.615E-01	6.0E-01	6.8E-01		2.615E-01	-2.8E-02	-2.0E-02
2.623E-01	6.4E-01	6.8E-01		2.623E-01	-2.0E-02	-1.2E-02
2.631E-01	6.4E-01	6.8E-01		2.631E-01	-2.0E-02	-8.E-03
2.639E-01	6.0E-01	6.4E-01		2.639E-01	-2.8E-02	-1.6E-02
2.647E-01	6.0E-01	6.4E-01		2.647E-01	-2.0E-02	-1.2E-02
2.655E-01	6.0E-01	6.4E-01		2.655E-01	-2.8E-02	-2.0E-02
2.663E-01	5.6E-01	6.4E-01		2.663E-01	-2.4E-02	-1.6E-02
2.671E-01	5.6E-01	6.0E-01		2.671E-01	-3.2E-02	-2.0E-02
